case:concept:name,concept:name,org:resource,start:timestamp,time:timestamp,Span,Ordered,Part,Worker ID,Report Type,Completed,Rejected,MRB,Rework
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-07 19:30:00,2012-03-07 23:35:00,004:05,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-08 07:07:00,2012-03-08 15:55:00,008:48,250,Cable Head,ID4528,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-08 15:58:00,2012-03-08 22:46:00,006:48,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-09 07:10:00,2012-03-09 12:20:00,005:10,250,Cable Head,ID4528,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-11 08:02:00,2012-03-11 15:41:00,007:39,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-11 16:08:00,2012-03-11 19:25:00,003:17,250,Cable Head,ID4528,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-12 07:21:00,2012-03-12 09:04:00,001:43,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-12 12:39:00,2012-03-12 15:53:00,003:14,250,Cable Head,ID4872,D,0,0,0,
Case 178,Turning & Milling Q.C.,Quality Check 1,2012-03-12 16:37:00,2012-03-12 16:45:00,000:08,250,Cable Head,ID4493,D,2,0,0,
Case 178,Lapping - Machine 1,Machine 1 - Lapping,2012-03-14 00:00:00,2012-03-14 01:15:00,000:00,250,Cable Head,ID0937,D,122,0,0,
Case 178,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-14 00:00:00,2012-03-14 01:15:00,000:00,250,Cable Head,ID0937,D,26,0,0,
Case 178,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-14 00:00:00,2012-03-14 01:15:00,000:00,250,Cable Head,ID0937,D,133,0,0,
Case 178,Round Grinding - Q.C.,Quality Check 1,2012-03-14 00:00:00,2012-03-14 01:15:00,000:00,250,Cable Head,ID0937,D,245,0,0,
Case 179,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-11 18:59:00,2012-01-11 22:51:00,003:52,150,Cable Head,ID4872,D,0,0,0,
Case 179,Final Inspection Q.C.,Quality Check 1,2012-01-13 09:00:00,2012-01-13 10:00:00,001:00,150,Cable Head,ID4163,D,10,0,0,
Case 179,Packing,Packing,2012-01-15 00:00:00,2012-01-15 01:00:00,000:00,150,Cable Head,ID4820,D,10,0,0,
Case 179,Grinding Rework - Machine 12,Machine 12 - Grinding,2012-02-20 10:45:00,2012-02-20 12:50:00,002:05,150,Cable Head,ID4528,D,0,0,0,
Case 179,Final Inspection Q.C.,Quality Check 1,2012-02-22 09:00:00,2012-02-22 11:00:00,002:00,150,Cable Head,ID4163,D,0,0,0,
Case 179,Packing,Packing,2012-02-23 00:00:00,2012-02-23 01:00:00,000:00,150,Cable Head,ID4820,D,2,0,0,
Case 179,Final Inspection Q.C.,Quality Check 1,2012-02-23 07:00:00,2012-02-23 07:40:00,000:40,150,Cable Head,ID4163,D,2,1,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-18 03:51:00,2012-01-18 05:31:00,001:40,557,Cable Head,ID4932,S,2,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-18 05:32:00,2012-01-18 06:39:00,001:07,557,Cable Head,ID4932,D,8,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-18 07:01:00,2012-01-18 08:44:00,001:43,557,Cable Head,ID4429,B,0,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-18 19:56:00,2012-01-18 20:12:00,000:16,557,Cable Head,ID4932,S,0,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-18 20:12:00,2012-01-19 06:46:00,010:34,557,Cable Head,ID4932,D,80,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-19 02:31:00,2012-01-19 05:33:00,003:02,557,Cable Head,ID4932,S,0,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-19 07:22:00,2012-01-19 08:27:00,001:05,557,Cable Head,ID4429,D,8,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-19 07:58:00,2012-01-19 17:29:00,009:31,557,Cable Head,ID4167,S,2,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-19 15:42:00,2012-01-19 17:57:00,002:15,557,Cable Head,ID4429,D,16,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-19 19:58:00,2012-01-20 06:54:00,000:01,557,Cable Head,ID4932,D,0,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-19 19:58:00,2012-01-19 19:59:00,010:56,557,Cable Head,ID4932,D,52,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-19 19:59:00,2012-01-20 06:54:00,010:55,557,Cable Head,ID4932,D,82,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-20 09:22:00,2012-01-20 14:52:00,005:30,557,Cable Head,ID4167,D,20,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-21 12:53:00,2012-01-21 23:54:00,011:01,557,Cable Head,ID4529,D,50,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-21 12:54:00,2012-01-21 20:55:00,008:01,557,Cable Head,ID4529,D,30,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-22 00:00:00,2012-01-22 01:15:00,000:00,557,Cable Head,ID4932,D,0,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-22 00:02:00,2012-01-22 06:32:00,006:30,557,Cable Head,ID4641,D,80,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-22 00:15:00,2012-01-22 06:31:00,006:16,557,Cable Head,ID4641,D,28,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-22 07:00:00,2012-01-22 08:40:00,001:40,557,Cable Head,ID4163,D,0,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-22 09:00:00,2012-01-22 12:50:00,003:50,557,Cable Head,ID4163,D,80,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-22 09:08:00,2012-01-22 16:46:00,007:38,557,Cable Head,ID4429,D,67,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-22 09:28:00,2012-01-22 10:28:00,001:00,557,Cable Head,ID4932,D,14,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-22 11:46:00,2012-01-22 15:57:00,004:11,557,Cable Head,ID4932,D,14,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-22 13:20:00,2012-01-22 14:40:00,001:20,557,Cable Head,ID4163,D,20,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-22 15:53:00,2012-01-22 19:53:00,004:00,557,Cable Head,ID4167,D,22,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-22 15:56:00,2012-01-22 19:57:00,004:01,557,Cable Head,ID4167,D,22,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-22 20:09:00,2012-01-23 06:20:00,010:11,557,Cable Head,ID4529,D,80,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-22 20:10:00,2012-01-23 06:22:00,010:12,557,Cable Head,ID4529,D,33,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-23 06:57:00,2012-01-23 16:06:00,009:09,557,Cable Head,ID4932,D,32,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-23 10:06:00,2012-01-23 11:22:00,001:16,557,Cable Head,ID4882,D,70,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-23 13:20:00,2012-01-23 15:30:00,002:10,557,Cable Head,ID4163,D,0,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-23 16:09:00,2012-01-23 20:13:00,004:04,557,Cable Head,ID4167,D,15,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-23 20:18:00,2012-01-24 06:28:00,010:10,557,Cable Head,ID4529,D,27,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-24 00:00:00,2012-01-24 01:15:00,000:00,557,Cable Head,ID4882,D,0,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-24 00:00:00,2012-01-24 01:15:00,000:00,557,Cable Head,ID4882,D,0,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-24 00:00:00,2012-01-24 01:15:00,000:00,557,Cable Head,ID4882,D,0,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-24 07:00:00,2012-01-24 08:40:00,001:40,557,Cable Head,ID4163,D,17,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-24 07:00:00,2012-01-24 10:51:00,003:51,557,Cable Head,ID4932,D,10,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-24 09:00:00,2012-01-24 12:50:00,003:50,557,Cable Head,ID4163,D,0,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-24 10:51:00,2012-01-24 10:52:00,000:01,557,Cable Head,ID4932,B,0,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-24 13:20:00,2012-01-24 15:00:00,001:40,557,Cable Head,ID4163,D,21,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-24 14:25:00,2012-01-24 15:58:00,001:33,557,Cable Head,ID4932,D,4,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-24 14:48:00,2012-01-24 20:48:00,006:00,557,Cable Head,ID4167,D,20,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-24 15:00:00,2012-01-24 15:20:00,000:20,557,Cable Head,ID4163,D,59,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-24 23:54:00,2012-01-25 06:27:00,006:33,557,Cable Head,ID4529,D,28,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-25 07:03:00,2012-01-25 16:05:00,009:02,557,Cable Head,ID4932,D,34,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 14:49:00,2012-01-25 14:50:00,000:01,557,Cable Head,ID0998,D,45,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 15:21:00,2012-01-25 15:47:00,000:26,557,Cable Head,ID4882,D,45,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-25 16:00:00,2012-01-25 20:22:00,004:22,557,Cable Head,ID4167,D,16,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-25 20:24:00,2012-01-26 06:43:00,010:19,557,Cable Head,ID4529,D,38,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-26 06:44:00,2012-01-26 16:01:00,009:17,557,Cable Head,ID4932,D,34,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-26 10:00:00,2012-01-26 12:50:00,002:50,557,Cable Head,ID4163,D,0,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-26 13:20:00,2012-01-26 14:00:00,000:40,557,Cable Head,ID4163,D,0,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-26 15:38:00,2012-01-26 16:38:00,001:00,557,Cable Head,ID4167,D,3,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-26 16:37:00,2012-01-26 16:38:00,000:01,557,Cable Head,ID4167,D,0,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-26 16:39:00,2012-01-26 23:44:00,007:05,557,Cable Head,ID4167,D,28,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-27 01:44:00,2012-01-27 01:45:00,000:01,557,Cable Head,ID4529,D,0,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-27 01:45:00,2012-01-27 06:21:00,004:36,557,Cable Head,ID4529,D,20,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-27 09:00:00,2012-01-27 12:44:00,003:44,557,Cable Head,ID4163,D,182,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-29 10:43:00,2012-01-29 12:54:00,002:11,557,Cable Head,ID4882,D,182,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-29 13:20:00,2012-01-29 16:52:00,003:32,557,Cable Head,ID4163,D,85,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-01-30 07:33:00,2012-01-30 08:35:00,001:02,557,Cable Head,ID4167,D,8,0,0,
Case 18,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-01-30 07:37:00,2012-01-30 23:38:00,016:01,557,Cable Head,ID4167,D,63,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-30 08:28:00,2012-01-30 09:34:00,001:06,557,Cable Head,ID0998,D,58,0,0,
Case 18,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-30 16:57:00,2012-01-30 16:58:00,000:01,557,Cable Head,ID0998,D,64,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-01-31 07:00:00,2012-01-31 07:14:00,000:14,557,Cable Head,ID4163,D,2,0,76,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-02-01 07:00:00,2012-02-01 07:30:00,000:30,557,Cable Head,ID4163,D,0,2,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-02-01 07:30:00,2012-02-01 09:19:00,000:20,557,Cable Head,ID4163,D,0,1,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-01 07:30:00,2012-02-01 07:50:00,1899/12/31 01:49:00,557,Cable Head,ID4163,D,0,0,0,
Case 18,Turning & Milling Q.C.,Quality Check 1,2012-02-13 10:30:00,2012-02-13 12:50:00,002:20,557,Cable Head,ID4163,D,0,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-15 16:43:00,2012-02-15 17:26:00,000:43,557,Cable Head,ID0998,D,10,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-16 07:59:00,2012-02-16 13:39:00,005:40,557,Cable Head,ID4355,D,16,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-16 13:38:00,2012-02-16 13:39:00,000:01,557,Cable Head,ID0998,D,6,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-19 08:21:00,2012-02-19 14:28:00,006:07,557,Cable Head,ID0998,D,0,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-22 09:29:00,2012-02-22 16:59:00,007:30,557,Cable Head,ID0998,D,78,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-23 00:27:00,2012-02-23 06:46:00,006:19,557,Cable Head,ID4445,D,20,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-23 06:56:00,2012-02-23 06:57:00,024:01,557,Cable Head,ID0420,D,27,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-23 07:38:00,2012-02-23 12:45:00,005:07,557,Cable Head,ID4882,D,0,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-23 09:09:00,2012-02-23 12:26:00,003:17,557,Cable Head,ID0998,D,93,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-24 00:33:00,2012-02-24 06:35:00,006:02,557,Cable Head,ID4445,D,16,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-24 06:59:00,2012-02-24 11:52:00,004:53,557,Cable Head,ID0420,D,18,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-25 22:05:00,2012-02-26 06:37:00,008:32,557,Cable Head,ID4528,D,24,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-26 09:28:00,2012-02-26 15:54:00,006:26,557,Cable Head,ID4355,D,19,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-26 12:00:00,2012-02-26 12:50:00,000:50,557,Cable Head,ID4163,D,0,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-26 13:20:00,2012-02-26 18:02:00,004:42,557,Cable Head,ID4163,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-26 20:25:00,2012-02-27 03:34:00,007:09,557,Cable Head,ID0420,D,23,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-27 03:40:00,2012-02-27 06:46:00,003:06,557,Cable Head,ID4385,D,9,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-27 06:50:00,2012-02-27 13:34:00,006:44,557,Cable Head,ID4355,D,15,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-27 07:00:00,2012-02-27 08:40:00,001:40,557,Cable Head,ID4163,D,0,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-27 10:00:00,2012-02-27 16:12:00,006:12,557,Cable Head,ID4163,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-27 13:35:00,2012-02-27 14:16:00,000:41,557,Cable Head,ID4355,D,0,0,0,
Case 18,Packing,Packing,2012-02-28 00:00:00,2012-02-28 01:00:00,000:00,557,Cable Head,ID4820,D,2,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-28 07:00:00,2012-02-28 08:40:00,001:40,557,Cable Head,ID4163,D,2,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-28 09:00:00,2012-02-28 11:50:00,002:50,557,Cable Head,ID4163,D,0,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-28 12:28:00,2012-02-28 14:08:00,001:40,557,Cable Head,ID4882,D,0,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-28 13:20:00,2012-02-28 18:02:00,004:42,557,Cable Head,ID4163,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-28 13:48:00,2012-02-28 16:39:00,002:51,557,Cable Head,ID4355,S,1,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-28 14:11:00,2012-02-28 15:26:00,000:00,557,Cable Head,ID0998,D,66,0,0,
Case 18,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-02-28 16:40:00,2012-02-28 17:55:00,000:00,557,Cable Head,ID4355,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-28 16:41:00,2012-02-28 18:51:00,002:10,557,Cable Head,ID4355,D,2,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-28 20:20:00,2012-02-29 01:05:00,004:45,557,Cable Head,ID0420,D,12,0,0,
Case 18,Packing,Packing,2012-02-29 00:00:00,2012-02-29 01:00:00,000:00,557,Cable Head,ID4820,D,75,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-29 00:00:00,2012-02-29 01:15:00,000:00,557,Cable Head,ID4882,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-29 01:28:00,2012-02-29 06:33:00,005:05,557,Cable Head,ID4385,D,10,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-29 07:00:00,2012-02-29 08:30:00,001:30,557,Cable Head,ID4163,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-29 09:14:00,2012-02-29 15:53:00,006:39,557,Cable Head,ID4355,D,17,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-29 10:00:00,2012-02-29 11:30:00,001:30,557,Cable Head,ID4163,D,75,0,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-29 13:20:00,2012-02-29 14:20:00,001:00,557,Cable Head,ID4163,D,0,6,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-29 14:20:00,2012-02-29 15:00:00,000:40,557,Cable Head,ID4163,D,0,5,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-29 15:00:00,2012-02-29 15:45:00,000:45,557,Cable Head,ID4163,D,0,4,0,
Case 18,Final Inspection Q.C.,Quality Check 1,2012-02-29 15:45:00,2012-02-29 16:12:00,000:27,557,Cable Head,ID4163,D,0,1,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-02-29 16:04:00,2012-02-29 18:14:00,002:10,557,Cable Head,ID0998,D,24,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-02-29 20:37:00,2012-03-01 04:07:00,007:30,557,Cable Head,ID4385,D,10,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-03-01 00:00:00,2012-03-01 01:15:00,000:00,557,Cable Head,ID4882,D,0,0,0,
Case 18,Lapping - Machine 1,Machine 1 - Lapping,2012-03-01 00:00:00,2012-03-01 01:15:00,000:00,557,Cable Head,ID4882,D,0,0,0,
Case 18,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-03-01 04:20:00,2012-03-01 06:46:00,002:26,557,Cable Head,ID0420,D,7,0,0,
